date,mxn
8/20/2018,18.878201
8/21/2018,19.00354
8/22/2018,18.943769
8/23/2018,18.767349
8/24/2018,19.006201
8/27/2018,18.767599
8/28/2018,18.80015
8/29/2018,19.06595
8/30/2018,18.9263
8/31/2018,19.09984
9/3/2018,19.096901
9/4/2018,19.184601
9/5/2018,19.368099
9/6/2018,19.336901
9/7/2018,19.232531
9/10/2018,19.3139
9/11/2018,19.265699
9/12/2018,19.20182
9/13/2018,19.0271
9/14/2018,18.830099
9/17/2018,18.875
9/18/2018,18.91954
9/19/2018,18.7883
9/20/2018,18.755699
9/21/2018,18.835899
9/24/2018,18.84417
9/25/2018,18.96587
9/26/2018,18.9753
9/27/2018,18.84898
9/28/2018,18.7866
10/1/2018,18.674419
10/2/2018,18.707899
10/3/2018,18.7871
10/4/2018,19.032499
10/5/2018,19.1031
10/8/2018,18.76519
10/9/2018,18.943359
10/10/2018,18.991659
10/11/2018,19.163771
10/12/2018,18.975969
10/15/2018,18.867001
10/16/2018,18.820101
10/17/2018,18.75209
10/18/2018,18.865601
10/19/2018,19.140499
10/22/2018,19.280199
10/23/2018,19.3925
10/24/2018,19.288971
10/25/2018,19.59757
10/26/2018,19.48177
10/29/2018,19.369801
10/30/2018,20.0529
10/31/2018,20.0616
11/1/2018,20.31509
11/2/2018,20.1618
11/5/2018,20.0105
11/6/2018,19.868601
11/7/2018,19.7066
11/8/2018,19.860399
11/9/2018,20.164301
11/12/2018,20.101101
11/13/2018,20.352819
11/14/2018,20.4555
11/15/2018,20.3887
11/16/2018,20.24659
11/19/2018,20.1399
11/20/2018,20.367901
11/21/2018,20.367399
11/22/2018,20.243799
11/23/2018,20.2915
11/26/2018,20.4042
11/27/2018,20.5937
11/28/2018,20.4554
11/29/2018,20.2736
11/30/2018,20.2248
12/3/2018,20.1607
12/4/2018,20.33415
12/5/2018,20.499399
12/6/2018,20.5082
12/7/2018,20.333599
12/10/2018,20.2742
12/11/2018,20.3151
12/12/2018,20.179319
12/13/2018,20.051901
12/14/2018,20.272699
12/17/2018,20.1401
12/18/2018,20.0697
12/19/2018,20.05624
12/20/2018,20.085199
12/21/2018,19.868151
12/24/2018,19.920771
12/25/2018,19.860399
12/26/2018,19.957729
12/27/2018,19.893299
12/28/2018,19.6824
12/31/2018,19.64537
1/1/2019,19.633699
1/2/2019,19.6283
1/3/2019,19.6077
1/4/2019,19.6045
1/7/2019,19.381901
1/8/2019,19.36462
1/9/2019,19.3279
1/10/2019,19.2059
1/11/2019,19.130751
1/14/2019,19.138901
1/15/2019,18.9736
1/16/2019,18.971519
1/17/2019,18.8811
1/18/2019,18.995399
1/21/2019,19.088699
1/22/2019,19.1472
1/23/2019,19.152399
1/24/2019,19.022499
1/25/2019,19.0133
1/28/2019,18.98885
1/29/2019,19.03755
1/30/2019,19.09086
1/31/2019,19.10528
2/1/2019,19.0931
2/4/2019,19.087
2/5/2019,19.0951
2/6/2019,19.024401
2/7/2019,19.1092
2/8/2019,19.074181
2/11/2019,19.072371
2/12/2019,19.288401
2/13/2019,19.242701
2/14/2019,19.413799
2/15/2019,19.258459
2/18/2019,19.261129
2/19/2019,19.2432
2/20/2019,19.1411
2/21/2019,19.21817
2/22/2019,19.2742
2/25/2019,19.128599
2/26/2019,19.121
2/27/2019,19.185011
2/28/2019,19.16449
3/1/2019,19.262699
3/4/2019,19.2652
3/5/2019,19.293421
3/6/2019,19.257401
3/7/2019,19.349199
3/8/2019,19.552799
3/11/2019,19.4832
3/12/2019,19.39127
3/13/2019,19.3304
3/14/2019,19.290051
3/15/2019,19.298599
3/18/2019,19.2034
3/19/2019,19.056379
3/20/2019,18.994499
3/21/2019,18.799
3/22/2019,18.85
3/25/2019,19.11665
3/26/2019,19.0156
3/27/2019,19.0881
3/28/2019,19.36385
3/29/2019,19.345301
4/1/2019,19.329399
4/2/2019,19.1593
4/3/2019,19.216101
4/4/2019,19.21767
4/5/2019,19.146799
4/8/2019,19.0613
4/9/2019,18.9839
4/10/2019,18.91382
4/11/2019,18.8064
4/12/2019,18.8169
4/15/2019,18.75758
4/16/2019,18.859301
4/17/2019,18.865801
4/18/2019,18.802
4/19/2019,18.7871
4/22/2019,18.7677
4/23/2019,18.826099
4/24/2019,18.9034
4/25/2019,19.0683
4/26/2019,19.02268
4/29/2019,18.9286
4/30/2019,18.9984
5/1/2019,18.93815
5/2/2019,18.9827
5/3/2019,19.113199
5/6/2019,19.057899
5/7/2019,18.992599
5/8/2019,19.03994
5/9/2019,19.0707
5/10/2019,19.225519
5/13/2019,19.1229
5/14/2019,19.206699
5/15/2019,19.1434
5/16/2019,19.060801
5/17/2019,19.099199
5/20/2019,19.1306
5/21/2019,19.046301
5/22/2019,null
5/23/2019,18.9828
5/24/2019,19.0308
5/27/2019,19.04311
5/28/2019,19.052999
5/29/2019,19.18321
5/30/2019,19.135481
5/31/2019,19.52504
6/3/2019,19.614799
6/4/2019,19.80331
6/5/2019,19.566851
6/6/2019,19.749241
6/7/2019,19.67428
6/10/2019,19.2791
6/11/2019,19.204439
6/12/2019,19.1061
6/13/2019,19.1598
6/14/2019,19.181101
6/17/2019,19.131399
6/18/2019,19.166201
6/19/2019,19.122841
6/20/2019,19.007401
6/21/2019,18.988899
6/24/2019,19.09907
6/25/2019,19.194901
6/26/2019,19.218
6/27/2019,19.1367
6/28/2019,19.17285
7/1/2019,19.136999
7/2/2019,19.099899
7/3/2019,19.044001
7/4/2019,19.003799
7/5/2019,19.003839
7/8/2019,18.9949
7/9/2019,18.93329
7/10/2019,19.16046
7/11/2019,19.1285
7/12/2019,19.067289
7/15/2019,18.987591
7/16/2019,18.966
7/17/2019,19.0896
7/18/2019,19.057899
7/19/2019,18.956699
7/22/2019,19.0126
7/23/2019,19.0392
7/24/2019,19.1684
7/25/2019,19.058399
7/26/2019,19.026199
7/29/2019,19.03096
7/30/2019,19.0467
7/31/2019,19.055401
8/1/2019,19.136499
8/2/2019,19.2103
8/5/2019,19.33843
8/6/2019,19.6803
8/7/2019,19.595869
8/8/2019,19.632299
8/9/2019,19.42765
8/12/2019,19.4256
8/13/2019,19.584499
8/14/2019,19.37874
8/15/2019,19.654659
8/16/2019,19.5986
8/19/2019,19.622299
8/20/2019,19.8731
8/21/2019,19.7505
8/22/2019,19.6719
8/23/2019,19.7997
8/26/2019,20.004299
8/27/2019,19.9359
8/28/2019,19.974001
8/29/2019,20.1394
8/30/2019,20.1208
9/2/2019,20.0938
9/3/2019,20.124451
9/4/2019,19.960699
9/5/2019,19.685699
9/6/2019,19.7057
9/9/2019,19.54114
9/10/2019,19.5555
9/11/2019,19.492001
9/12/2019,19.499399
9/13/2019,19.428499
9/16/2019,19.3981
9/17/2019,19.4224
9/18/2019,19.3528
9/19/2019,19.3967
9/20/2019,19.429199
9/23/2019,19.4189
9/24/2019,19.476
9/25/2019,19.435699
9/26/2019,19.566999
9/27/2019,19.65703
9/30/2019,19.678699
10/1/2019,19.734819
10/2/2019,19.803801
10/3/2019,19.783701
10/4/2019,19.653049
10/7/2019,19.5208
10/8/2019,19.5709
10/9/2019,19.6252
10/10/2019,19.5849
10/11/2019,19.4347
10/14/2019,19.3081
10/15/2019,19.26935
10/16/2019,19.23065
10/17/2019,19.194901
10/18/2019,19.1798
10/21/2019,19.117701
10/22/2019,19.121799
10/23/2019,19.14069
10/24/2019,19.101601
10/25/2019,19.117901
10/28/2019,19.039301
10/29/2019,19.110201
10/30/2019,19.107201
10/31/2019,19.09292
11/1/2019,19.2388
11/4/2019,19.084999
11/5/2019,19.1679
11/6/2019,19.1868
11/7/2019,19.1507
11/8/2019,19.121599
11/11/2019,19.109501
11/12/2019,19.1115
11/13/2019,19.2987
11/14/2019,19.365219
11/15/2019,19.3127
11/18/2019,19.198799
11/19/2019,19.31719
11/20/2019,19.35854
11/21/2019,19.4697
11/22/2019,19.38685
11/25/2019,19.344999
11/26/2019,19.44515
